run_id	sample_id	group	fastq
SRR19987570	SRR19987570	UNKNOWN	data/fastq/SRR19987570.fastq.gz
SRR19987571	SRR19987571	UNKNOWN	data/fastq/SRR19987571.fastq.gz
SRR19987572	SRR19987572	UNKNOWN	data/fastq/SRR19987572.fastq.gz
SRR19987573	SRR19987573	UNKNOWN	data/fastq/SRR19987573.fastq.gz
SRR19987574	SRR19987574	UNKNOWN	data/fastq/SRR19987574.fastq.gz
SRR19987575	SRR19987575	UNKNOWN	data/fastq/SRR19987575.fastq.gz
SRR19987576	SRR19987576	UNKNOWN	data/fastq/SRR19987576.fastq.gz
SRR19987577	SRR19987577	UNKNOWN	data/fastq/SRR19987577.fastq.gz
SRR19987578	SRR19987578	UNKNOWN	data/fastq/SRR19987578.fastq.gz
SRR19987579	SRR19987579	UNKNOWN	data/fastq/SRR19987579.fastq.gz
SRR19987580	SRR19987580	UNKNOWN	data/fastq/SRR19987580.fastq.gz
SRR19987581	SRR19987581	UNKNOWN	data/fastq/SRR19987581.fastq.gz
SRR19987582	SRR19987582	UNKNOWN	data/fastq/SRR19987582.fastq.gz
SRR19987583	SRR19987583	UNKNOWN	data/fastq/SRR19987583.fastq.gz
SRR19987584	SRR19987584	UNKNOWN	data/fastq/SRR19987584.fastq.gz
SRR19987585	SRR19987585	UNKNOWN	data/fastq/SRR19987585.fastq.gz
SRR19987586	SRR19987586	UNKNOWN	data/fastq/SRR19987586.fastq.gz
SRR19987587	SRR19987587	UNKNOWN	data/fastq/SRR19987587.fastq.gz
SRR19987588	SRR19987588	UNKNOWN	data/fastq/SRR19987588.fastq.gz
SRR19987589	SRR19987589	UNKNOWN	data/fastq/SRR19987589.fastq.gz
SRR19987590	SRR19987590	UNKNOWN	data/fastq/SRR19987590.fastq.gz
SRR19987591	SRR19987591	UNKNOWN	data/fastq/SRR19987591.fastq.gz
SRR19987592	SRR19987592	UNKNOWN	data/fastq/SRR19987592.fastq.gz
SRR19987593	SRR19987593	UNKNOWN	data/fastq/SRR19987593.fastq.gz
SRR19987594	SRR19987594	UNKNOWN	data/fastq/SRR19987594.fastq.gz
